Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Asterisk Main Board.PrjPCB|ReportField=ProjectFullPath~D:\Denis\Documents\Altium projects\Asterisk Main Board\Asterisk Main Board.PrjPCB|ReportField=Title~Bill of Materials For Project [Asterisk Main Board.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~17:28:21|ReportField=ReportDate~16.10.2023|ReportField=ReportDateTime~16.10.2023 17:28:21|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~287|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~16.10.2023|ReportField=CurrentTime~17:18:37|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Denis\Documents\Altium projects\Asterisk Main Board\main.SchDoc|ReportField=DocumentName~main.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~16.10.2023|ReportField=Organization~|ReportField=ProjectName~Asterisk Main Board.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Asterisk Main Board.PrjPCB|ReportField=DataSourceFullPath~D:\Denis\Documents\Altium projects\Asterisk Main Board\Asterisk Main Board.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|HC-05|Bluetooth HC-05|BT?||HC-05|1
2|10v 47uF|Tantal SMD Cap|C1|CAP_TANT_D|CAP Tantal|1
3|25v 470uF||C2, C?|D8C3.5H12|Cap Aluminum|2
4|25v 47uF|Tantal SMD Cap|C3_DRV1, C3_DRV2, C3_DRV3, C3_DRV4, C4_DRV1, C4_DRV2, C4_DRV3, C4_DRV4|CAP_TANT_D|CAP Tantal|8
5|1uF|Ceramic SMD Cap, [NoValue]|C5, C6, C16, C23, C24, C25, C26, C27|CAP0603|CAP Ceramic, Cap SMD|8
6|0.1uF|Ceramic SMD Cap|C7, C8, C9, C10, C11, C12, C15, C17, C18|CAP0603|CAP Ceramic|9
7|100uF|Tantal SMD Cap|C13, C14|CAP_TANT_D|CAP Tantal|2
8|2.2uF|Ceramic SMD Cap|C19, C20|CAP0603|CAP Ceramic|2
9|20pF|Ceramic SMD Cap|C21, C22|CAP0603|CAP Ceramic|2
10|1uF|Ceramic SMD Cap|C28|CAP0805|CAP Ceramic|1
11|0.1uF|Ceramic SMD Cap|C29, C32, C33, C67, C68|CAP0805|CAP Ceramic|5
12|10uF|Ceramic SMD Cap|C30|CAP0805|CAP Ceramic|1
13|1uF|Ceramic SMD Cap|C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65|CAP1206|CAP Ceramic|32
14|8.2V|Zener Diode|D3|BZV55C8V2|Diode Zener|1
15|mini360 3V3||DA1|mini360|mini360|1
16|mini360 5V||DA2|mini360|mini360|1
17|8MHz|CRYSTAL 16.0000MHZ 20PF SMD|G1|CRYSTAL_HC49-US-SM|ECS-160-20-5PX-TR|1
18|LED1|LED smd Green|HL1|LED0603_GREEN|LED|1
19|LED2|LED smd Green|HL2|LED0603_GREEN|LED|1
20|LED3|LED smd Green|HL3|LED0603_GREEN|LED|1
21|BG|LED smd Green|HL4|LED0603_GREEN|LED|1
22|YG|LED smd Green|HL5|LED0603_GREEN|LED|1
23|ST|LED smd Green|HL6|LED0603_GREEN|LED|1
24|GK|LED smd Green|HL7|LED0603_GREEN|LED|1
25|M_PWR|LED smd Red|HL8|LED0603_RED|LED|1
26|48V|LED smd Red|HL9|LED0603_RED|LED|1
27|12V|LED smd Red|HL10|LED0603_RED|LED|1
28|5V|LED smd Red|HL11|LED0603_RED|LED|1
29|3V3|LED smd Red|HL12|LED0603_RED|LED|1
30|white|LED smd White, LED smd|HL13, HL14, HL15, HL16, HL18, HL19|LED0603_WHITE|LED|6
31|Vbat|LED smd Red|HL17|LED0603_RED|LED|1
32|USB-C||J1||USB-C|1
33|CD74HC4067SM96|SSOP-24|MUX1, MUX2|CD74HC4067SM96|CD74HC4067SM96|2
34|150R|RES smd|R1|RES0805|RES|1
35|5.1K|RES smd|R2, R51|RES0805|RES|2
